"OBJECTID","LOWWELL","SPECIES"
73,"Low","Pyrus calleryana cvs"
74,"None","Gleditsia triacanthos"
75,"Low","Platanus acerifolia"
76,"None","Platanus acerifolia"
77,"None","Platanus acerifolia"
78,"Low","Platanus acerifolia"
79,"Low","Platanus acerifolia"
80,"None","Podocarpus gracilior"
81,"Low","Podocarpus gracilior"
82,"None","Robinia hybrid"
83,"None","Olea europaea"
84,"Low","Liquidambar styraciflua"
85,"None","Ginkgo biloba"
86,"Moderate","Liquidambar styraciflua"
87,"Low","Sequoia sempervirens"
88,"None","Pyrus calleryana cvs"
89,"Moderate","Prunus cerasifera/blireiana"
90,"None","Pyrus kawakami"
91,"Low","Quercus agrifolia"
92,"Low","Platanus acerifolia"
93,"None","Platanus acerifolia"
94,"Low","Platanus acerifolia"
95,"None","Platanus acerifolia"
96,"Moderate","Maytenus boaria"
97,"None","Eucalyptus globulus"
98,"Moderate","Prunus cerasifera/blireiana"
99,"Moderate","Robinia hybrid"
100,"None","Alnus rhombifolia"
101,"Low","Platanus acerifolia"
102,"None","Platanus acerifolia"
103,"Moderate","Magnolia grandiflora"
104,"None","Prunus cerasifera/blireiana"
105,"None","Platanus acerifolia"
106,"None","Platanus acerifolia"
107,"Low","Platanus acerifolia"
108,"None","Platanus acerifolia"
109,"None","Pyrus calleryana cvs"
110,"None","Podocarpus gracilior"
111,"Low","Pyrus calleryana cvs"
112,"None","Platanus acerifolia"
113,"None","Prunus cerasifera/blireiana"
114,"Low","Platanus racemosa"
115,"Low","Platanus racemosa"
116,"Low","Platanus racemosa"
117,"Low","Platanus racemosa"
118,"Low","Platanus racemosa"
119,"Low","Lagerstroemia indica"
120,"None","Platanus acerifolia"
121,"Low","Magnolia grandiflora"
122,"None","Platanus acerifolia"
123,"Moderate","Magnolia grandiflora"
124,"None","Ulmus americana"
125,"Low","Prunus sp"
126,"Low","Platanus acerifolia"
127,"Low","Platanus acerifolia"
128,"None","Cinnamomum camphora"
129,"None","Magnolia grandiflora"
130,"Moderate","Ginkgo biloba"
131,"None","Ginkgo biloba"
132,"Low","Ficus retusa nitida"
133,"None","Lophostemon confertus"
134,"None","Prunus cerasifera/blireiana"
135,"None","Crataegus phaenopyrum"
136,"None","Gleditsia triacanthos"
137,"None","Liquidambar styraciflua"
138,"None","Platanus acerifolia"
139,"None","Platanus acerifolia"
140,"None","Platanus acerifolia"
141,"Low","Lophostemon confertus"
142,"High","Lophostemon confertus"
143,"Low","Lophostemon confertus"
144,"Low","Podocarpus gracilior"
145,"None","Lophostemon confertus"
146,"None","Trachycarpus fortunei"
147,"Moderate","Liriodendron tulipifera"
148,"None","Prunus cerasifera/blireiana"
149,"Low","Pyrus kawakami"
150,"Low","Morus alba"
151,"None","Liquidambar styraciflua"
152,"Low","Lophostemon confertus"
153,"None","Ulmus americana"
154,"Low","Stump"
155,"None","Lophostemon confertus"
156,"Low","Platanus acerifolia"
157,"None","Unknown"
158,"None","Schinus terebinthefolia"
159,"Moderate","Lophostemon confertus"
160,"None","Platanus acerifolia"
161,"Low","Arbutus sp"
162,"None","Pyrus calleryana cvs"
163,"None","Ginkgo biloba"
164,"None","Pyrus calleryana cvs"
165,"None","Cercis sp"
166,"None","Platanus acerifolia"
167,"None","Platanus acerifolia"
168,"None","Unknown"
169,"None","Unknown"
170,"None","Prunus sp"
171,"Low","Magnolia grandiflora"
172,"None","Cinnamomum camphora"
173,"None","Platanus acerifolia"
174,"None","Lophostemon confertus"
175,"None","Liquidambar styraciflua"
176,"Low","Platanus acerifolia"
177,"Low","Platanus acerifolia"
178,"None","Magnolia soulangiana"
179,"None","Magnolia grandiflora"
180,"None","Magnolia grandiflora"
181,"None","Magnolia grandiflora"
182,"None","Platanus acerifolia"
183,"Low","Lophostemon confertus"
184,"Moderate","Liquidambar styraciflua"
185,"None","Podocarpus gracilior"
186,"None","Liquidambar styraciflua"
187,"Moderate","Liquidambar styraciflua"
188,"Low","Ficus retusa nitida"
189,"None","Platanus acerifolia"
190,"Moderate","Pyrus calleryana cvs"
191,"None","Robinia hybrid"
192,"Low","Platanus acerifolia"
193,"None","Lophostemon confertus"
194,"None","Lophostemon confertus"
195,"Low","Lophostemon confertus"
196,"Low","Platanus acerifolia"
197,"Moderate","Quercus sp"
198,"None","Platanus acerifolia"
199,"None","Prunus cerasifera/blireiana"
200,"None","Platanus acerifolia"
201,"None","Liquidambar styraciflua"
202,"None","Liquidambar styraciflua"
203,"High","Prunus cerasifera/blireiana"
204,"Low","Platanus acerifolia"
205,"None","Pistacia chinensis"
206,"Low","Pistacia chinensis"
207,"Low","Platanus acerifolia"
208,"None","Acer sp"
209,"None","Alnus rhombifolia"
210,"High","Platanus acerifolia"
211,"Low","Platanus acerifolia"
212,"Low","Unknown"
213,"Low","Eucalyptus ficifolia"
214,"None","Quercus sp"
215,"Low","Ficus retusa nitida"
216,"Low","Prunus sp"
217,"None","Liquidambar styraciflua"
218,"Low","Lophostemon confertus"
219,"Low","Magnolia grandiflora"
220,"None","Magnolia grandiflora"
221,"None","Unknown"
222,"Low","Platanus acerifolia"
223,"None","Platanus acerifolia"
224,"None","Platanus acerifolia"
225,"None","Platanus acerifolia"
226,"None","Lyonothamnus asplinifolia"
227,"None","Magnolia grandiflora"
228,"Moderate","Magnolia grandiflora"
229,"None","Pyrus calleryana cvs"
230,"High","Platanus acerifolia"
231,"None","Acer sp"
232,"Moderate","Lophostemon confertus"
233,"None","Lophostemon confertus"
234,"Low","Fraxinus o. `Raywood'"
235,"High","Fraxinus o. `Raywood'"
236,"Moderate","Fraxinus o. `Raywood'"
237,"Moderate","Platanus acerifolia"
238,"Moderate","Platanus acerifolia"
239,"Low","Pyrus calleryana cvs"
240,"Low","Platanus acerifolia"
241,"None","Callistemon sp"
242,"None","Unknown"
243,"Moderate","Pyrus calleryana cvs"
244,"None","Liquidambar styraciflua"
245,"Low","Platanus acerifolia"
246,"None","Platanus acerifolia"
247,"None","Platanus acerifolia"
248,"Moderate","Lophostemon confertus"
249,"None","Platanus acerifolia"
250,"None","Liquidambar styraciflua"
251,"None","Liquidambar styraciflua"
252,"Moderate","Platanus acerifolia"
253,"Moderate","Platanus acerifolia"
254,"None","Lophostemon confertus"
255,"Low","Lophostemon confertus"
256,"High","Pistacia chinensis"
257,"None","Trachycarpus fortunei"
258,"None","Betula sp"
259,"None","Platanus acerifolia"
260,"None","Platanus acerifolia"
261,"Moderate","Ficus retusa nitida"
262,"Low","Liquidambar styraciflua"
263,"None","Prunus sp"
264,"Low","Platanus acerifolia"
265,"Low","Pyrus kawakami"
266,"None","Washingtonia robusta"
267,"None","Platanus acerifolia"
268,"None","Prunus sp"
269,"High","Platanus acerifolia"
270,"High","Platanus acerifolia"
271,"None","Platanus acerifolia"
272,"Moderate","Fraxinus o. `Raywood'"
273,"Low","Platanus acerifolia"
274,"None","Lophostemon confertus"
275,"Low","Liquidambar styraciflua"
276,"None","Platanus acerifolia"
277,"None","Platanus acerifolia"
278,"None","Lophostemon confertus"
279,"None","Platanus acerifolia"
280,"None","Platanus acerifolia"
281,"Low","Platanus acerifolia"
282,"Moderate","Platanus acerifolia"
283,"Low","Dead"
284,"None","Prunus cerasifera/blireiana"
285,"None","Syzygium paniculatum"
286,"None","Pinus pinea"
287,"None","Alnus rhombifolia"
288,"None","Liquidambar styraciflua"
289,"Moderate","Liquidambar styraciflua"
290,"Low","Liquidambar styraciflua"
291,"Low","Platanus acerifolia"
292,"None","Eucalyptus ficifolia"
293,"Low","Nyssa sylvatica"
294,"None","Betula sp"
295,"None","Platanus acerifolia"
296,"None","Ficus retusa nitida"
297,"None","Ficus retusa nitida"
298,"Low","Schinus terebinthefolia"
299,"Low","Schinus terebinthefolia"
300,"None","Liquidambar styraciflua"
301,"None","Pyrus calleryana cvs"
302,"None","Magnolia grandiflora"
303,"None","Pyrus kawakami"
304,"Low","Lophostemon confertus"
305,"None","Robinia hybrid"
306,"Low","Liquidambar styraciflua"
307,"None","Crataegus phaenopyrum"
308,"High","Prunus sp"
309,"Low","Pyrus calleryana cvs"
310,"Low","Lagerstroemia indica"
311,"None","Prunus sp"
312,"Moderate","Liquidambar styraciflua"
313,"None","Platanus acerifolia"
314,"Low","Washingtonia robusta"
315,"Moderate","Lagerstroemia indica"
316,"None","Platanus acerifolia"
317,"None","Magnolia grandiflora"
318,"None","Magnolia grandiflora"
319,"None","Lophostemon confertus"
320,"Moderate","Lagerstroemia indica"
321,"None","Pistacia chinensis"
322,"None","Stump"
323,"Low","Crataegus phaenopyrum"
324,"Low","Crataegus phaenopyrum"
325,"Low","Platanus acerifolia"
326,"None","Lophostemon confertus"
327,"None","Prunus sp"
328,"None","Prunus sp"
329,"None","Unknown"
330,"None","Acer sp"
331,"None","Unknown"
332,"None","Platanus acerifolia"
333,"None","Sequoia sempervirens"
334,"None","Liquidambar styraciflua"
335,"Moderate","Quercus ilex"
336,"None","Liquidambar styraciflua"
337,"None","Platanus acerifolia"
338,"Low","Platanus acerifolia"
339,"None","Platanus acerifolia"
340,"None","Ginkgo biloba"
341,"Moderate","Callistemon sp"
342,"Moderate","Nyssa sylvatica"
343,"High","Lophostemon confertus"
344,"Low","Pistacia chinensis"
345,"None","Unknown"
346,"None","Platanus acerifolia"
347,"None","Liquidambar styraciflua"
348,"None","Liquidambar styraciflua"
349,"Moderate","Platanus acerifolia"
350,"None","Platanus acerifolia"
351,"None","Crataegus phaenopyrum"
352,"Moderate","Platanus acerifolia"
353,"None","Pistacia chinensis"
354,"None","Crataegus phaenopyrum"
355,"None","Quercus ilex"
356,"Moderate","Unknown"
357,"None","Platanus acerifolia"
358,"Moderate","Platanus acerifolia"
359,"Low","Unknown"
360,"None","Lagerstroemia indica"
361,"Moderate","Ficus retusa nitida"
362,"None","Pyrus calleryana cvs"
363,"None","Pyrus calleryana cvs"
364,"Low","Platanus acerifolia"
365,"High","Unknown"
366,"None","Platanus acerifolia"
367,"Low","Alnus rhombifolia"
368,"None","Crataegus phaenopyrum"
369,"None","Alnus sp"
370,"Low","Platanus acerifolia"
371,"Low","Liquidambar styraciflua"
372,"None","Callistemon sp"
373,"None","Malus sp"
374,"High","Pittosporum undulatum"
375,"Low","Platanus acerifolia"
376,"High","Pittosporum undulatum"
377,"None","Platanus acerifolia"
378,"None","Platanus acerifolia"
379,"Moderate","Magnolia grandiflora"
380,"None","Persea sp / avocado"
381,"None","Platanus acerifolia"
382,"Low","Liquidambar styraciflua"
383,"None","Unknown"
384,"Low","Syzygium paniculatum"
385,"Moderate","Platanus acerifolia"
386,"None","Platanus acerifolia"
387,"Low","Platanus acerifolia"
388,"None","Robinia hybrid"
389,"None","Fraxinus o. `Raywood'"
390,"None","Platanus acerifolia"
391,"Low","Nyssa sylvatica"
392,"None","Platanus acerifolia"
393,"None","Platanus acerifolia"
394,"None","Platanus acerifolia"
395,"None","Platanus acerifolia"
396,"None","Phoenix canariensis"
397,"None","Phoenix canariensis"
398,"None","Platanus acerifolia"
399,"None","Platanus acerifolia"
400,"None","Platanus acerifolia"
401,"None","Platanus acerifolia"
402,"Low","Phoenix canariensis"
403,"None","Dead"
404,"None","Liquidambar styraciflua"
405,"Moderate","Lagerstroemia indica"
406,"None","Prunus cerasifera/blireiana"
407,"None","Liquidambar styraciflua"
408,"None","Pistacia chinensis"
409,"None","Liquidambar styraciflua"
410,"None","Morus alba"
411,"Low","Crataegus phaenopyrum"
412,"Low","Pyrus kawakami"
413,"None","Magnolia grandiflora"
414,"None","Liquidambar styraciflua"
415,"None","Liquidambar styraciflua"
416,"None","Liquidambar styraciflua"
417,"None","Lophostemon confertus"
418,"Low","Other"
419,"None","Unknown"
420,"None","Maytenus boaria"
421,"None","Liquidambar styraciflua"
422,"None","Liquidambar styraciflua"
423,"None","Liquidambar styraciflua"
424,"None","Quercus agrifolia"
425,"None","Liquidambar styraciflua"
426,"None","Liquidambar styraciflua"
427,"None","Malus floribunda"
428,"None","Liquidambar styraciflua"
429,"None","Acer palmatum"
430,"None","Other"
431,"None","Magnolia grandiflora"
432,"Low","Pyrus kawakami"
433,"Moderate","Ginkgo biloba"
434,"None","Liquidambar styraciflua"
435,"Moderate","Liquidambar styraciflua"
436,"None","Lagerstroemia indica"
437,"High","Pistacia chinensis"
438,"None","Ficus retusa nitida"
439,"None","Liquidambar styraciflua"
440,"None","Liquidambar styraciflua"
441,"High","Liquidambar styraciflua"
442,"None","Platanus acerifolia"
443,"None","Pistacia chinensis"
444,"None","Pistacia chinensis"
445,"None","Lagerstroemia indica"
446,"Low","Prunus cerasifera/blireiana"
447,"None","Lagerstroemia indica"
448,"None","Lagerstroemia indica"
449,"None","Dead"
450,"None","Maytenus boaria"
451,"Low","Stump"
452,"None","Liquidambar styraciflua"
453,"Low","Liquidambar styraciflua"
620,"None","Phoenix canariensis"
621,"None","Arbutus sp"
622,"None","Celtis sp"
623,"None","Pyrus kawakami"
624,"None","Phoenix canariensis"
625,"None","Phoenix canariensis"
626,"None","Cedrus sp"
627,"None","Olea europaea"
628,"Low","Celtis sp"
629,"None","Tristaniopsis laurina"
630,"None","Tristaniopsis laurina"
631,"None","Washingtonia robusta"
632,"None","Acacia melanoxylon"
633,"None","Unknown"
634,"None","Olea europaea"
635,"None","Olea europaea"
636,"None","Prunus serrulata"
637,"Moderate","Betula sp"
638,"None","Quercus agrifolia"
639,"None","Dodonaea sp"
640,"None","Prunus serrulata"
641,"None","Aesculus carnea"
642,"Moderate","Platanus acerifolia"
643,"None","Lagerstroemia indica"
644,"None","Lagerstroemia indica"
645,"None","Cupressus sp"
646,"None","Quercus agrifolia"
647,"Low","Pyrus calleryana cvs"
648,"None","Acacia longifolia"
649,"None","Dodonaea sp"
650,"None","Quercus agrifolia"
651,"None","Washingtonia robusta"
652,"Low","Unknown"
653,"None","Schinus terebinthefolia"
654,"None","Platanus acerifolia"
655,"None","Quercus agrifolia"
656,"None","Prunus cerasifera/blireiana"
657,"None","Magnolia grandiflora"
658,"None","Liriodendron tulipifera"
659,"None","Prunus cerasifera/blireiana"
660,"None","Acer sp"
661,"None","Olea europaea"
662,"None","Liquidambar styraciflua"
663,"None","Prunus serrulata"
664,"None","Pyrus calleryana cvs"
665,"Moderate","Brachychiton populneum"
666,"None","Quercus agrifolia"
667,"Moderate","Pyrus calleryana cvs"
668,"None","Olea europaea"
669,"None","Cedrus sp"
670,"Low","Pyrus calleryana cvs"
671,"None","Liriodendron tulipifera"
672,"None","Lagerstroemia indica"
673,"None","Unknown"
674,"Low","Lagerstroemia indica"
675,"None","Dodonaea sp"
676,"None","Cupressus sp"
677,"Low","Aesculus carnea"
678,"None","Pyrus calleryana cvs"
679,"None","Unknown"
680,"None","Lagerstroemia indica"
681,"Low","Platanus acerifolia"
682,"None","Ginkgo biloba"
683,"Low","Platanus acerifolia"
684,"Low","Ginkgo biloba"
685,"Low","Maytenus boaria"
686,"None","Washingtonia filifera"
687,"Low","Ginkgo biloba"
688,"None","Platanus acerifolia"
689,"Low","Acer sp"
690,"Low","Acer sp"
691,"Low","Platanus acerifolia"
692,"Low","Maytenus boaria"
693,"None","Fraxinus o. `Raywood'"
694,"None","Platanus acerifolia"
695,"None","Acacia melanoxylon"
696,"Low","Dead"
697,"Low","Prunus cerasifera/blireiana"
698,"Low","Acer sp"
699,"Low","Magnolia grandiflora"
700,"Moderate","Magnolia grandiflora"
701,"None","Quercus ilex"
702,"Low","Platanus acerifolia"
703,"Moderate","Lagerstroemia indica"
704,"Moderate","Lagerstroemia indica"
705,"Moderate","Tristaniopsis laurina"
706,"Low","Pyrus calleryana cvs"
707,"Low","Ginkgo biloba"
708,"Low","Ginkgo biloba"
709,"Low","Platanus acerifolia"
710,"None","Platanus acerifolia"
711,"None","Lagerstroemia indica"
712,"Low","Magnolia grandiflora"
713,"None","Ginkgo biloba"
714,"None","Ceratonia siliqua"
715,"Low","Pyrus calleryana cvs"
716,"None","Phoenix canariensis"
717,"Low","Ginkgo biloba"
718,"Low","Platanus acerifolia"
719,"Moderate","Platanus acerifolia"
720,"Low","Platanus acerifolia"
721,"Low","Pyrus kawakami"
722,"Low","Prunus cerasifera/blireiana"
723,"Moderate","Prunus cerasifera/blireiana"
724,"Moderate","Prunus cerasifera/blireiana"
725,"Moderate","Lagerstroemia indica"
726,"Moderate","Lagerstroemia indica"
727,"None","Platanus acerifolia"
728,"None","Prunus cerasifera/blireiana"
729,"Low","Platanus acerifolia"
730,"None","Lophostemon confertus"
731,"None","Unknown"
732,"Low","Magnolia grandiflora"
733,"Moderate","Podocarpus gracilior"
734,"None","Gleditsia triacanthos"
735,"None","Washingtonia robusta"
736,"Low","Pyrus kawakami"
737,"Low","Prunus cerasifera/blireiana"
738,"Low","Pyrus kawakami"
739,"Low","Ginkgo biloba"
740,"None","Lagerstroemia indica"
741,"None","Liquidambar styraciflua"
742,"Low","Pyrus calleryana cvs"
743,"High","Fraxinus o. `Raywood'"
744,"None","Robinia pseudoacacia"
745,"Low","Acer sp"
746,"Moderate","Acer sp"
747,"None","Platanus acerifolia"
748,"None","Prunus sp"
749,"None","Lagerstroemia indica"
750,"Low","Podocarpus gracilior"
751,"Low","Magnolia grandiflora"
752,"None","Platanus acerifolia"
753,"None","Quercus suber"
754,"None","Lagerstroemia indica"
755,"None","Acacia melanoxylon"
756,"None","Fraxinus o. `Raywood'"
757,"None","Pistacia chinensis"
758,"Low","Platanus acerifolia"
759,"None","Robinia pseudoacacia"
760,"None","Ginkgo biloba"
761,"Low","Magnolia grandiflora"
762,"Low","Lagerstroemia indica"
763,"Low","Magnolia grandiflora"
764,"Low","Acacia longifolia"
765,"Moderate","Ginkgo biloba"
766,"Moderate","Ginkgo biloba"
767,"Low","Ginkgo biloba"
768,"None","Acer sp"
769,"Low","Fraxinus sp"
770,"Low","Fraxinus o. `Raywood'"
771,"None","Fraxinus o. `Raywood'"
772,"Low","Lagerstroemia indica"
773,"Moderate","Ginkgo biloba"
774,"Low","Fraxinus sp"
775,"None","Melaleuca stypheloides"
776,"None","Pistacia chinensis"
777,"Low","Prunus cerasifera/blireiana"
778,"None","Arbutus sp"
779,"None","Lagerstroemia indica"
780,"None","Lagerstroemia indica"
781,"None","Lagerstroemia indica"
782,"Low","Pyrus calleryana cvs"
783,"None","Fraxinus o. `Raywood'"
784,"Moderate","Lagerstroemia indica"
785,"Low","Pyrus calleryana cvs"
786,"None","Prunus cerasifera/blireiana"
787,"None","Cercis sp"
788,"None","Platanus acerifolia"
789,"Moderate","Fraxinus o. `Raywood'"
790,"Low","Unknown"
791,"None","Platanus acerifolia"
792,"Low","Ginkgo biloba"
793,"Moderate","Robinia hybrid"
794,"Low","Maytenus boaria"
795,"Low","Ginkgo biloba"
796,"Moderate","Prunus sp"
797,"Low","Ginkgo biloba"
798,"Moderate","Acer sp"
799,"Moderate","Fraxinus o. `Raywood'"
800,"None","Platanus acerifolia"
801,"None","Fraxinus o. `Raywood'"
802,"None","Fraxinus o. `Raywood'"
803,"None","Ginkgo biloba"
804,"None","Ginkgo biloba"
805,"Low","Pyrus calleryana cvs"
806,"Low","Pyrus calleryana cvs"
807,"None","Platanus acerifolia"
808,"None","Zelkova serrata"
809,"None","Prunus cerasifera/blireiana"
810,"High","Ginkgo biloba"
811,"Low","Lagerstroemia indica"
812,"Low","Quercus agrifolia"
813,"None","Magnolia grandiflora"
814,"None","Magnolia grandiflora"
815,"None","Ginkgo biloba"
816,"Low","Robinia hybrid"
817,"None","Pyrus kawakami"
818,"None","Pyrus kawakami"
819,"Moderate","Eucalyptus ficifolia"
820,"None","Ginkgo biloba"
821,"Low","Pyrus kawakami"
822,"Moderate","Platanus acerifolia"
823,"None","Prunus sp"
824,"None","Lagerstroemia indica"
825,"None","Gleditsia triacanthos"
826,"None","Prunus cerasifera/blireiana"
827,"Low","Lagerstroemia indica"
828,"None","Cercis sp"
829,"Low","Magnolia grandiflora"
830,"None","Ligustrum sp"
831,"Low","Dead"
832,"None","Arbutus sp"
833,"None","Pyrus kawakami"
834,"Low","Lagerstroemia indica"
835,"Moderate","Robinia pseudoacacia"
836,"None","Maytenus boaria"
837,"Moderate","Prunus cerasifera/blireiana"
1230,"None","Podocarpus gracilior"
1231,"None","Platanus acerifolia"
1232,"Low","Lagerstroemia indica"
1233,"None","Lagerstroemia indica"
1234,"Moderate","Shrub"
1235,"None","Fraxinus sp"
1236,"None","Platanus acerifolia"
1237,"None","Prunus sp"
1238,"Moderate","Magnolia grandiflora"
1239,"Low","Quercus sp"
1240,"None","Shrub"
1241,"None","Other"
1242,"None","Pyrus calleryana cvs"
1243,"None","Quercus sp"
1244,"None","Platanus acerifolia"
1245,"Low","Podocarpus gracilior"
1246,"Low","Platanus acerifolia"
1247,"Low","Dead"
1248,"Low","Magnolia grandiflora"
1249,"None","Liquidambar styraciflua"
1250,"None","Robinia pseudoacacia"
1251,"None","Crataegus phaenopyrum"
1252,"None","Schinus molle"
1253,"None","Magnolia grandiflora"
1254,"None","Ceratonia siliqua"
1255,"None","Pyrus calleryana cvs"
1256,"None","Pyrus calleryana cvs"
1257,"None","Prunus cerasifera/blireiana"
1258,"None","Cinnamomum camphora"
1259,"None","Pittosporum undulatum"
1260,"None","Liquidambar styraciflua"
1261,"None","Lagerstroemia indica"
1262,"Moderate","Fraxinus sp"
1263,"None","Lagerstroemia indica"
1264,"None","Geijera parvifolia"
1265,"None","Magnolia grandiflora"
1266,"Low","Ginkgo biloba"
1267,"Moderate","Fraxinus o. `Raywood'"
1268,"None","Dead"
1269,"None","Juniperus sp"
1270,"None","Prunus cerasifera/blireiana"
1271,"None","Prunus cerasifera/blireiana"
1272,"None","Ginkgo biloba"
1273,"None","Fraxinus sp"
1274,"None","Fraxinus sp"
1275,"None","Syzygium paniculatum"
1276,"None","Syzygium paniculatum"
1277,"None","Magnolia grandiflora"
1278,"None","Liquidambar styraciflua"
1279,"None","Prunus cerasifera/blireiana"
1280,"Moderate","Pyrus calleryana cvs"
1281,"None","Pyrus kawakami"
1282,"None","Lagerstroemia indica"
1283,"Low","Lophostemon confertus"
1284,"None","Tristaniopsis laurina"
1285,"None","Prunus sp"
1286,"None","Pyrus calleryana cvs"
1287,"None","Salix babylonica"
1288,"None","Fraxinus sp"
1289,"None","Quercus sp"
1290,"Moderate","Prunus cerasifera/blireiana"
1291,"None","Lagerstroemia indica"
1292,"None","Lagerstroemia indica"
1293,"None","Platanus acerifolia"
1294,"None","Dead"
1295,"None","Platanus acerifolia"
1296,"None","Fraxinus sp"
1297,"None","Prunus cerasifera/blireiana"
1298,"None","Fraxinus sp"
1299,"None","Eucalyptus sp"
1300,"Low","Fraxinus sp"
1301,"Low","Acer macrophyllum"
1302,"None","Prunus serrulata"
1303,"None","Dead"
1304,"None","Fraxinus sp"
1305,"None","Malus sp"
1306,"None","Fraxinus o. `Raywood'"
1307,"None","Acacia longifolia"
1308,"None","Lagerstroemia indica"
1309,"High","Koelreuteria sp"
1310,"None","Prunus cerasifera/blireiana"
1311,"None","Podocarpus gracilior"
1312,"Moderate","Platanus acerifolia"
1313,"Low","Pyrus calleryana cvs"
1314,"None","Acer sp"
1315,"None","Platanus acerifolia"
1316,"Low","Prunus cerasifera/blireiana"
1317,"None","Pyrus kawakami"
1318,"None","Pyrus calleryana cvs"
1319,"Moderate","Pyrus kawakami"
1320,"Moderate","Prunus cerasifera/blireiana"
1321,"None","Fraxinus sp"
1322,"None","Platanus acerifolia"
1323,"None","Platanus acerifolia"
1324,"None","Nyssa sylvatica"
1325,"None","Prunus cerasifera/blireiana"
1326,"None","Pittosporum undulatum"
1327,"Moderate","Lagerstroemia indica"
1328,"None","Prunus cerasifera/blireiana"
1329,"None","Cercis sp"
1330,"None","Pyrus calleryana cvs"
1331,"None","Pyrus calleryana cvs"
1332,"Low","Magnolia grandiflora"
1333,"Moderate","Platanus acerifolia"
1334,"Moderate","Magnolia grandiflora"
1335,"None","Prunus cerasifera/blireiana"
1336,"None","Callistemon sp"
1337,"None","Lophostemon confertus"
1338,"None","Cedrus sp"
1339,"Low","Magnolia grandiflora"
1340,"Low","Dead"
1341,"None","Jacaranda acutifolia"
1342,"None","Pyrus calleryana cvs"
1343,"None","Eucalyptus nicholii"
1344,"Low","Pyrus calleryana cvs"
1345,"None","Washingtonia robusta"
1346,"None","Platanus acerifolia"
1347,"None","Platanus acerifolia"
1348,"Low","Pyrus kawakami"
1349,"None","Washingtonia robusta"
1350,"Moderate","Prunus cerasifera/blireiana"
1351,"None","Jacaranda acutifolia"
1352,"None","Other"
1353,"None","Podocarpus gracilior"
1354,"None","Melaleuca sp"
1355,"None","Platanus acerifolia"
1356,"None","Pistacia chinensis"
1357,"None","Prunus cerasifera/blireiana"
1358,"Moderate","Jacaranda acutifolia"
1359,"None","Fraxinus sp"
1360,"None","Jacaranda acutifolia"
1361,"None","Cercis sp"
1362,"Low","Dead"
1363,"None","Acer macrophyllum"
1364,"None","Fraxinus sp"
1365,"None","Magnolia grandiflora"
1366,"None","Lagerstroemia indica"
1367,"Low","Platanus acerifolia"
1368,"None","Prunus cerasifera/blireiana"
1369,"None","Prunus cerasifera/blireiana"
1370,"None","Liquidambar styraciflua"
1371,"None","Pyrus calleryana cvs"
1372,"None","Ginkgo biloba"
1373,"None","Other"
1374,"None","Platanus acerifolia"
1375,"None","Ulmus parvifolia"
